player_id,short_name,fifa_version,long_name,height_cm,overall,age,nationality_name,pace,shooting,passing,dribbling,defending,physic
231747,K. Mbappé,24.0,Kylian Mbappé Lottin,182,91,24,France,97.0,90.0,80.0,92.0,36.0,78.0
239085,E. Haaland,24.0,Erling Braut Haaland,195,91,22,Norway,89.0,93.0,66.0,80.0,45.0,88.0
192985,K. De Bruyne,24.0,Kevin De Bruyne,181,91,32,Belgium,72.0,88.0,94.0,87.0,65.0,78.0
158023,L. Messi,24.0,Lionel Andrés Messi Cuccittini,169,90,36,Argentina,80.0,87.0,90.0,94.0,33.0,64.0
165153,K. Benzema,24.0,Karim Benzema,185,90,35,France,79.0,88.0,83.0,87.0,39.0,78.0
188545,R. Lewandowski,24.0,Robert Lewandowski,185,90,34,Poland,75.0,91.0,80.0,87.0,44.0,84.0
192119,T. Courtois,24.0,Thibaut Nicolas Marc Courtois,199,90,31,Belgium,,,,,,
202126,H. Kane,24.0,Harry Kane,188,90,29,England,69.0,93.0,84.0,83.0,49.0,83.0
238794,Vini Jr.,24.0,Vinícius José Paixão de Oliveira Júnior,176,89,22,Brazil,95.0,82.0,78.0,90.0,29.0,68.0
212831,Alisson,24.0,Alisson Ramsés Becker,193,89,30,Brazil,,,,,,
231866,Rodri,24.0,Rodrigo Hernández Cascante,191,89,27,Spain,58.0,73.0,80.0,80.0,85.0,84.0
239818,Rúben Dias,24.0,Rúben dos Santos Gato Alves Dias,187,89,26,Portugal,62.0,39.0,66.0,69.0,89.0,87.0
190871,Neymar Jr,24.0,Neymar da Silva Santos Júnior,175,89,31,Brazil,86.0,83.0,85.0,93.0,37.0,61.0
192448,M. ter Stegen,24.0,Marc-André ter Stegen,187,89,31,Germany,,,,,,
200145,Casemiro,24.0,Carlos Henrique Venancio Casimiro,185,89,31,Brazil,63.0,75.0,79.0,73.0,89.0,88.0
203376,V. van Dijk,24.0,Virgil van Dijk,193,89,31,Netherlands,78.0,60.0,71.0,72.0,89.0,86.0
209331,M. Salah,24.0,Mohamed Salah Ghaly,175,89,31,Egypt,89.0,87.0,81.0,88.0,45.0,76.0
239053,F. Valverde,24.0,Federico Santiago Valverde Dipetta,182,88,24,Uruguay,88.0,82.0,84.0,84.0,80.0,82.0
232293,V. Osimhen,24.0,Victor James Osimhen,185,88,24,Nigeria,90.0,86.0,66.0,83.0,42.0,82.0
210257,Ederson,24.0,Ederson Santana de Moraes,188,88,29,Brazil,,,,,,
212622,J. Kimmich,24.0,Joshua Walter Kimmich,177,88,28,Germany,70.0,74.0,88.0,84.0,82.0,79.0
194765,A. Griezmann,24.0,Antoine Griezmann,176,88,32,France,80.0,88.0,87.0,88.0,58.0,75.0
200389,J. Oblak,24.0,Jan Oblak,188,88,30,Slovenia,,,,,,
212198,Bruno Fernandes,24.0,Bruno Miguel Borges Fernandes,179,88,28,Portugal,71.0,86.0,90.0,83.0,69.0,77.0
218667,Bernardo Silva,24.0,Bernardo Mota Veiga de Carvalho e Silva,173,88,28,Portugal,69.0,78.0,86.0,92.0,70.0,69.0
222665,M. Ødegaard,24.0,Martin Ødegaard,178,87,24,Norway,72.0,81.0,88.0,87.0,61.0,64.0
228702,F. de Jong,24.0,Frenkie de Jong,181,87,26,Netherlands,82.0,69.0,86.0,87.0,77.0,78.0
230621,G. Donnarumma,24.0,Gianluigi Donnarumma,196,87,24,Italy,,,,,,
231478,L. Martínez,24.0,Lautaro Javier Martínez,174,87,25,Argentina,80.0,86.0,71.0,85.0,48.0,85.0
235073,G. Kobel,24.0,Gregor Kobel,195,87,25,Switzerland,,,,,,
215698,M. Maignan,24.0,Mike Maignan,191,87,27,France,,,,,,
207865,Marquinhos,24.0,Marcos Aoás Corrêa,183,87,29,Brazil,78.0,56.0,75.0,74.0,89.0,80.0
167495,M. Neuer,24.0,Manuel Peter Neuer,193,87,37,Germany,,,,,,
177003,L. Modrić,24.0,Luka Modrić,172,87,37,Croatia,72.0,76.0,89.0,87.0,72.0,66.0
200104,H. Son,24.0,손흥민 孙兴慜,183,87,30,Korea Republic,87.0,88.0,80.0,84.0,42.0,70.0
